,({'AQUA BOTOL 600ML'}),0.04677173360447382,0.04677173360447382,1.0
,({'PRINT HITAM PUTIH ANGGOTA'}),0.01942043721403152,0.01942043721403152,1.0
,({'SARI GANDUM SUSU&COKLAT 39GR'}),0.006405693950177936,0.006405693950177936,1.0
,({'CHAMP SOSIS RASA AYAM'}),0.003863751906456533,0.003863751906456533,1.0
,({'PRINT LOGO'}),0.028978139298423997,0.028978139298423997,1.0
,({'ULTRA MILK COKELAT 200ML'}),0.007727503812913066,0.007727503812913066,1.0
,({'FRESTEA MELATI 500ML BOTOL'}),0.002440264361972547,0.002440264361972547,1.0
,({'BETTER VANILA CREAM'}),0.007727503812913066,0.007727503812913066,1.0
,({'ULTRA MILK STRAWBERRY 200ML'}),0.004473817996949669,0.004473817996949669,1.0
,({'SPRITE 390 ML BOTOL'}),0.002338586680223691,0.002338586680223691,1.0
,({'KACANG SUKRO BBQ'}),0.005795627859684799,0.005795627859684799,1.0
,({'BENG-BENG COKLAT'}),0.00864260294865277,0.00864260294865277,1.0
,({'OREO VANILA 29.4G'}),0.004473817996949669,0.004473817996949669,1.0
,({'KACANG KORO PEDAS'}),0.00681240467717336,0.00681240467717336,1.0
,({'VIT LEVITE ANGGUR HIJAU 350ML'}),0.0017285205897305542,0.0017285205897305542,1.0
,({'LAURIER RELAX NIGHT'}),0.003253685815963396,0.003253685815963396,1.0
,({'AQUA BOTOL 1500ML BOTOL'}),0.005592272496187087,0.005592272496187087,1.0
,({'PRINT HITAM PUTIH UMUM'}),0.023690899847483477,0.023690899847483477,1.0
,({'CHAMP SOSIS RASA SAPI'}),0.00315200813421454,0.00315200813421454,1.0
,({'KACANG KORO ORIGINAL'}),0.004473817996949669,0.004473817996949669,1.0
,({'WIFI ID 12 JAM UNLIMITED'}),0.0029486527707168276,0.0029486527707168276,1.0
,({'ULTRA MILK FULL CREAM 200 ML'}),0.004372140315200813,0.004372140315200813,1.0
,({'CHOKI-CHOKI'}),0.003355363497712252,0.003355363497712252,1.0
,({'CHARM EXT MAXI/PCS'}),0.0020335536349771225,0.0020335536349771225,1.0
,({'KENKO 200 MAGIC JELL BLACK'}),0.0027452974072191155,0.0027452974072191155,1.0
,({'TALI ID CARD'}),0.006100660904931368,0.006100660904931368,1.0
,({'CHUBA KEJU'}),0.007015760040671073,0.007015760040671073,1.0
,({'TESSA TISU'}),0.006710726995424504,0.006710726995424504,1.0
,({'PILLOW UBI 8GR'}),0.00315200813421454,0.00315200813421454,1.0
,({'CHOCOLATOS DARK'}),0.006405693950177936,0.006405693950177936,1.0
,({'JILID'}),0.010167768174885612,0.010167768174885612,1.0
,({'PRINT WARNA 1/4 LMBR'}),0.007930859176410779,0.007930859176410779,1.0
,({'PRINT WARNA SETENGAH LEMBAR'}),0.009862735129639044,0.009862735129639044,1.0
,({'PERMEN'}),0.0034570411794611084,0.0034570411794611084,1.0
,({'WIFI ID 10.000'}),0.002440264361972547,0.002440264361972547,1.0
,({'FULLO VANILA COKLAT'}),0.0035587188612099642,0.0035587188612099642,1.0
,({'OREO CHOCO CREME29.4G'}),0.0037620742247076767,0.0037620742247076767,1.0
,({'CHA CHA MILK CHOCOLATE'}),0.0028469750889679717,0.0028469750889679717,1.0
,({'STANDARD BLACK'}),0.0018301982714794102,0.0018301982714794102,1.0
,({'CHUBA BALADO IJO'}),0.004677173360447382,0.004677173360447382,1.0
,({'PRINT WARNA FULL'}),0.0019318759532282665,0.0019318759532282665,1.0
,({'OREO DOUBLE DELIG32.5G'}),0.0034570411794611084,0.0034570411794611084,1.0
,({'FULLO STRAWBERRY & CHOCOLATE'}),0.004270462633451958,0.004270462633451958,1.0
,({'FRESTEA MADU 500ML BOTOL'}),0.002338586680223691,0.002338586680223691,1.0
,({'MAP DIAMOND BLUE'}),0.0019318759532282665,0.0019318759532282665,1.0
,({'POP MIE BASO 57G'}),0.0035587188612099642,0.0035587188612099642,1.0
,({'OISHI SPONGE COKLAT 28 GR'}),0.004677173360447382,0.004677173360447382,1.0
,({'HOLDER ID CARD'}),0.0035587188612099642,0.0035587188612099642,1.0
,({'FASTER C600 BLACK PULPEN'}),0.0018301982714794102,0.0018301982714794102,1.0
,({'PILLOWS DURIAN'}),0.002440264361972547,0.002440264361972547,1.0
,({'FULLO FULL VANILA'}),0.003863751906456533,0.003863751906456533,1.0
,({'CHUBA BALADO'}),0.008744280630401627,0.008744280630401627,1.0
,({'RICHEESE NABATI CHEESE WAFER'}),0.004168784951703101,0.004168784951703101,1.0
,({'RICHOCO NABATI CHOCOLATE WAFER'}),0.004372140315200813,0.004372140315200813,1.0
,({'GOOD TIME DOUBLE CHOCOCHIPS SMALL'}),0.005795627859684799,0.005795627859684799,1.0
,({'SIPU'}),0.0022369089984748346,0.0022369089984748346,1.0
,({'OP MIE KARI AYAM 75 G'}),0.003863751906456533,0.003863751906456533,1.0
,({'SARI GANDUM 39 G'}),0.005490594814438231,0.005490594814438231,1.0
,({'PENSIL FABER CASTELL 2B'}),0.0017285205897305542,0.0017285205897305542,1.0
,({'ADES 600 ML BOTOL'}),0.004168784951703101,0.004168784951703101,1.0
,({'YOGHURT'}),0.030604982206405694,0.030604982206405694,1.0
,({'FRESTEA APEL 350 ML BOTOL'}),0.0019318759532282665,0.0019318759532282665,1.0
,({'AKUN BONUS'}),0.0018301982714794102,0.0018301982714794102,1.0
,({'ES LILIN'}),0.030808337569903407,0.030808337569903407,1.0
,({'DOUBLE FOLIO KERTAS'}),0.005083884087442806,0.005083884087442806,1.0
