Rules	 Support 	 Confidence 	 Lift
[' AKUN BONUS'] -> ['PRINT HITAM PUTIH ANGGOTA']	0.005480453050785532	0.8333333333333334	11.94153577661431
[' AKUN BONUS'] -> ['PRINT LOGO']	0.0014614541468761417	0.2222222222222222	2.13411306042885
[' AKUN BONUS'] -> ['PRINT WARNA 1/4 LMBR']	0.0014614541468761417	0.2222222222222222	7.797720797720797
[' BASRENG KECIL'] -> ['AQUA BOTOL 600ML']	0.0010960906101571063	0.2727272727272727	1.6227272727272726
[' CHA CHA PEANUT SMALL 7G'] -> ['CHA CHA MILK CHOCOLATE']	0.0010960906101571063	0.3333333333333333	32.58333333333333
[' CHOCOLATOS DARK '] -> [' FULLO FULL VANILA']	0.0021921812203142127	0.09523809523809523	6.859649122807017
[' CHOCOLATOS DARK '] -> ['AQUA BOTOL 600ML']	0.005115089514066497	0.22222222222222224	1.3222222222222222
[' CHOCOLATOS DARK '] -> ['BENG-BENG COKLAT']	0.0025575447570332483	0.11111111111111112	3.577777777777778
[' CHOCOLATOS DARK '] -> ['CHOKI-CHOKI']	0.0010960906101571063	0.047619047619047616	3.9494949494949494
[' CHOCOLATOS DARK '] -> ['CHUBA BALADO']	0.003288271830471319	0.14285714285714285	4.546511627906977
[' CHOCOLATOS DARK '] -> ['CHUBA KEJU']	0.0014614541468761417	0.06349206349206349	2.518518518518518
[' CHOCOLATOS DARK '] -> ['ES LILIN']	0.003653635367190354	0.15873015873015872	1.4338100476714337
[' CHOCOLATOS DARK '] -> ['FULLO COKLAT']	0.0010960906101571063	0.047619047619047616	4.82716049382716
[' CHOCOLATOS DARK '] -> ['FULLO STRAWBERRY & CHOCOLATE ']	0.0010960906101571063	0.047619047619047616	3.103174603174603
[' CHOCOLATOS DARK '] -> ['FULLO VANILA COKLAT']	0.001826817683595177	0.07936507936507936	6.2063492063492065
[' CHOCOLATOS DARK '] -> ['GOOD TIME DOUBLE CHOCOCHIPS SMALL']	0.0014614541468761417	0.06349206349206349	3.048732943469785
